Address,Price,Details,Images
"1634 S Ponce De Leon Ave NE UNIT 501, Atlanta, GA 30307","$2,400/mo","['3 bds', '2.5 ba', '1,800 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Element at Kirkwood | 2035 Memorial Dr SE, Atlanta, GA",as per size in the details,"['$1,169+ 1 bd', '$1,369+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"1401 West Paces | 1401 W Paces Ferry Rd NW, Atlanta, GA",as per size in the details,"['$1,118+ 1 bd', '$1,255+ 2 bds', '$1,764+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Alta Dairies | 777 Memorial Dr SE, Atlanta, GA",as per size in the details,"['$1,355+ Studio', '$1,650+ 1 bd', '$2,199+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Post Alexander | 600 Phipps Blvd, Atlanta, GA",as per size in the details,"['$1,145+ Studio', '$1,355+ 1 bd', '$1,750+ 2 bds', '$2,520 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"860 Peachtree St NE, Atlanta, GA",as per size in the details,"['$1,800+ 1 bd']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"437 Park Ave SE #B, Atlanta, GA 30312","$2,000/mo","['3 bds', '2 ba', '1,200 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Highland Walk Apartments | 701 Highland Ave NE, Atlanta, GA",as per size in the details,"['$1,413+ Studio', '$1,515+ 1 bd', '$2,034+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Vesta Adams Park | 1991 Delowe Dr SW, Atlanta, GA",as per size in the details,"['$865+ 1 bd', '$980+ 2 bds', '$1,235+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"YOO on The Park | 207 13th St NE, Atlanta, GA",as per size in the details,"['$1,640+ Studio', '$1,964+ 1 bd', '$3,130+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Monroe Place Apartments | 2000 Monroe Pl NE, Atlanta, GA",as per size in the details,"['$1,125+ Studio', '$1,265+ 1 bd', '$1,580+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Marquis at Buckhead | 214 Colonial Homes Dr NW, Atlanta, GA",as per size in the details,"['$1,333+ 1 bd', '$1,780+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Local on 14th | 455 14th St NW, Atlanta, GA",as per size in the details,"['$1,290+ Studio', '$1,475+ 1 bd', '$1,880+ 2 bds', '$2,470+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"2111 Defoors Ferry Rd NW APT D, Atlanta, GA 30318","$1,445/mo","['2 bds', '2 ba', '1,245 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Brady | 930 Howell Mill Rd NW, Atlanta, GA",as per size in the details,"['$1,280+ Studio', '$1,399+ 1 bd', '$1,715+ 2 bds', '$2,950+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Ashford at Spring Lake | 6200 Bakers Ferry Rd SW, Atlanta, GA",as per size in the details,"['$1,080 1 bd', '$1,120+ 2 bds', '$1,290+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Collier Ridge | 100 Noble Creek Dr NW, Atlanta, GA",as per size in the details,"['$1,310+ 2 bds', '$1,703+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Collier Ridge | 100 Noble Creek Dr NW, Atlanta, GA",as per size in the details,"['$1,310+ 2 bds', '$1,703+ 3 bds']",https://photos.zillowstatic.com/p_e/ISv0ofqn4u6cgi0000000000.jpg
"1268 Liberty Pkwy NW, Atlanta, GA 30318","$2,000/mo","['3 bds', '3.5 ba', '1,600 sqft']",https://photos.zillowstatic.com/p_e/IS72l3cpuwopzk1000000000.jpg
"651 Ormewood Ave SE, Atlanta, GA 30312","$3,200/mo","['2 bds', '2 ba', '1,486 sqft']",https://photos.zillowstatic.com/p_e/ISnqyyxe6u2hgs1000000000.jpg
"AMLI Piedmont Heights | 2323 Piedmont Rd, Atlanta, GA",as per size in the details,"['$1,390+ 1 bd', '$1,869+ 2 bds']",https://photos.zillowstatic.com/p_e/ISvoecsjavrn060000000000.jpg
"The Brady | 930 Howell Mill Rd NW, Atlanta, GA",as per size in the details,"['$1,280+ Studio', '$1,399+ 1 bd', '$1,715+ 2 bds', '$2,950+ 3 bds']",https://photos.zillowstatic.com/p_e/IS66occriks1rg1000000000.jpg
"Core At Lindbergh | 741 Morosgo Dr NE, Atlanta, GA",as per size in the details,"['$1,119+ Studio', '$1,222+ 1 bd', '$1,703+ 2 bds']",https://photos.zillowstatic.com/p_e/ISfojzz7vn84ol1000000000.jpg
"The Row at Twenty Sixth Apartments | 225 26th St NW, Atlanta, GA",as per size in the details,"['$1,184+ Studio', '$1,254+ 1 bd', '$1,450+ 2 bds', '$2,310 3 bds']",https://photos.zillowstatic.com/p_e/ISny4x64xm5vtc0000000000.jpg
"642 Providence Pl SW, Atlanta, GA 30331","$1,600/mo","['3 bds', '3.5 ba', '1,555 sqft']",https://photos.zillowstatic.com/p_e/ISf40nxvg4azde1000000000.jpg
"AMLI Westside | 1084 Howell Mill Rd NW, Atlanta, GA",as per size in the details,"['$1,270+ Studio', '$1,501+ 1 bd', '$1,927+ 2 bds']",https://photos.zillowstatic.com/p_e/ISzfmv2adkzw4h0000000000.jpg
"AMLI Lindbergh | 2400 Parkland Dr, Atlanta, GA",as per size in the details,"['$1,236+ 1 bd', '$1,529+ 2 bds', '$2,090+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"585 Mcwilliams Rd SE UNIT 1901, Atlanta, GA 30315","$2,000/mo","['4 bds', '2 ba', '1,800 sqft']",NA
"585 Mcwilliams Rd SE UNIT 2702, Atlanta, GA 30315","$1,350/mo","['2 bds', '1 ba', '1,548 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"2573 Abner Pl NW, Atlanta, GA 30318","$2,100/mo","['3 bds', '2 ba', '1,200 sqft']",NA
"1639 Orlando St SW, Atlanta, GA 30311","$1,400/mo","['3 bds', '2 ba', '1,100 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"300 Peachtree St NW #21B, Atlanta, GA 30308","$1,295/mo","['1 bd', '1 ba', '700 sqft']",NA
"467 Leonardo Ave NE, Atlanta, GA 30307","$2,950/mo","['3 bds', '2 ba', '2,000 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"3566 Highwood Dr SW, Atlanta, GA 30331","$1,295/mo","['3 bds', '1.5 ba', '1,075 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Ansley Forest | 1659 Monroe Dr NE, Atlanta, GA",as per size in the details,"['$1,270 Studio', '$1,765+ 2 bds', '$2,735 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Radius West Midtown | 464 Bishop St NW, Atlanta, GA",as per size in the details,"['$1,310+ 1 bd', '$1,850+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Crest at Northside | 499 Northside Cir NW, Atlanta, GA",as per size in the details,"['$1,000+ Studio', '$1,070+ 1 bd', '$1,285+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Windsor Old Fourth Ward | 608 Ralph Mcgill Blvd NE, Atlanta, GA",as per size in the details,"['$1,495+ Studio', '$1,715+ 1 bd', '$2,295+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"974 Todd Rd NE, Atlanta, GA",as per size in the details,"['$1,695 1 bd', '$2,280 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Wesley Townsend | 200 Colonial Homes Dr NW, Atlanta, GA",as per size in the details,"['$1,408+ 1 bd', '$1,666+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Morningside Atlanta by Windsor | 1845 Piedmont Ave NE, Atlanta, GA",as per size in the details,"['$1,465+ 1 bd', '$1,665+ 2 bds', '$2,485+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Virginia Highlands Apartment Homes | 609 Virginia Ave NE, Atlanta, GA",as per size in the details,"['$1,445+ 1 bd', '$1,866+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Post Chastain | 4090 Roswell Rd NE, Atlanta, GA",as per size in the details,"['$1,040+ Studio', '$1,190+ 1 bd', '$1,325+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"1257 Lorenzo Dr SW #A, Atlanta, GA 30310",$895/mo,"['2 bds', '1 ba', '1,000 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Aspire Lenox Park | 1050 Lenox Park Blvd NE, Atlanta, GA",as per size in the details,"['$1,260+ 1 bd', '$1,623+ 2 bds', '$2,034+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Cottonwood Westside | 691 14th St NW, Atlanta, GA",as per size in the details,"['$1,225+ Studio', '$1,215+ 1 bd', '$1,675+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Eleven85 | 1185 Collier Rd NW, Atlanta, GA",as per size in the details,"['$1,262 Studio', '$1,396+ 1 bd', '$1,577+ 2 bds', '$1,700+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Ashford 2788 | 2788 Defoors Ferry Rd NW, Atlanta, GA",as per size in the details,"['$1,085+ 2 bds', '$1,785 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Telephone Factory Lofts | 828 Ralph Mcgill Blvd NE, Atlanta, GA",as per size in the details,"['$2,550+ Studio', '$2,825 1 bd', '$3,150 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"N. Highland Steel | 240 N Highland Ave NE, Atlanta, GA",as per size in the details,"['$1,294+ Studio', '$1,456+ 1 bd', '$1,951+ 2 bds', '$3,077 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Saint Charles Ave NE, Atlanta, GA 30306","$1,200/mo","['1 bd', '1 ba', '650 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Lynch Ave NW, Atlanta, GA 30318","$2,950/mo","['3 bds', '1.5 ba', '1,060 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"356 Schoen St SE, Atlanta, GA 30315","$1,395/mo","['4 bds', '2 ba', '1,646 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"2019 Reynolds Dr SW, Atlanta, GA 30315","$1,325/mo","['4 bds', '2.5 ba', '1,572 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"1019 Crane Rd NE, Atlanta, GA 30324","$3,500/mo","['4 bds', '4 ba', '2,474 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"745 Fountainhead Ln NE, Atlanta, GA 30324","$2,995/mo","['4 bds', '3.5 ba', '2,750 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Atlantic | 270 17th St NW, Atlanta, GA",as per size in the details,"['$2,900 1 bd', '$3,200+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
