Address,Price,Details,Images
"Piedmont House | 205 12th St NE, Atlanta, GA",as per size in the details,"['$2,449+ 1 bd', '$3,182+ 2 bds', '$7,596+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Berkeley Heights | 1700 Northside Dr NW, Atlanta, GA",as per size in the details,"['$1,195+ Studio', '$1,190+ 1 bd', '$1,555+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Hanover Buckhead Village | 3150 Roswell Rd NW, Atlanta, GA",as per size in the details,"['$1,654+ Studio', '$1,659+ 1 bd', '$2,027+ 2 bds', '$6,851+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"1045 on The Park | 1045 Piedmont Ave NE, Atlanta, GA",as per size in the details,"['$1,890 1 bd', '$2,192+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Gramercy At Buckhead | 3315 Roswell Rd, Atlanta, GA",as per size in the details,"['$1,205+ 1 bd', '$1,520+ 2 bds', '$1,945+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Haynes House | 2420 Peachtree Rd NW, Atlanta, GA",as per size in the details,"['$1,367+ Studio', '$1,342+ 1 bd', '$2,185+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Ascent Midtown | 1400 W Peachtree St NW, Atlanta, GA",as per size in the details,"['$1,765+ Studio', '$2,095+ 1 bd', '$2,209+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Allure at Brookwood | 40 Peachtree Valley Rd NE, Atlanta, GA",as per size in the details,"['$1,148+ Studio', '$1,158+ 1 bd', '$1,503+ 2 bds', '$2,153 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Post Riverside | 4403 Northside Pkwy, Atlanta, GA",as per size in the details,"['$1,190+ Studio', '$1,195+ 1 bd', '$1,610+ 2 bds', '$2,225+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Post Peachtree Hills | 350 Peachtree Hills Ave NE, Atlanta, GA",as per size in the details,"['$1,165+ 1 bd', '$1,490+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
